Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Los Rios,Chile,2020-09-20 04:22:56,-40.231,-72.3311,1500,15,1254,231.0,"Los Rios, Chile",389.77541140794676,1.0
Magallanes,Chile,2020-09-20 04:22:56,-52.368,-70.9863,6273,64,4924,1285.0,"Magallanes, Chile",3766.8209904343294,1.0202454965726129
Maule,Chile,2020-09-20 04:22:56,-35.5183,-71.6885,14317,297,12693,1327.0,"Maule, Chile",1370.1134025551462,2.074456939302926
Metropolitana,Chile,2020-09-20 04:22:56,-33.4376,-70.6505,282535,8998,269784,3753.0,"Metropolitana, Chile",3972.2005711387123,3.184738174031536
Nuble,Chile,2020-09-20 04:22:56,-36.7226,-71.7622,5881,105,5223,553.0,"Nuble, Chile",1223.6558200116935,1.7854106444482232
OHiggins,Chile,2020-09-20 04:22:56,-34.5755,-71.0022,15386,383,14218,785.0,"OHiggins, Chile",1682.3482458682092,2.4892759651631358
Tarapaca,Chile,2020-09-20 04:22:56,-19.9232,-69.5132,11401,218,10898,285.0,"Tarapaca, Chile",3449.016511474537,1.912112972546268
Unknown,Chile,2020-09-20 04:22:56,,,54,1,54,,"Unknown, Chile",,1.851851851851852
Valparaiso,Chile,2020-09-20 04:22:56,-33.0472,-71.6127,26095,823,24120,1152.0,"Valparaiso, Chile",1437.026888014882,3.1538608928913585
Anhui,China,2020-09-20 04:22:56,31.8257,117.2264,991,6,985,0.0,"Anhui, China",1.5670461733080334,0.6054490413723511
Beijing,China,2020-09-20 04:22:56,40.1824,116.4142,935,9,926,0.0,"Beijing, China",4.340761374187558,0.962566844919786
Chongqing,China,2020-09-20 04:22:56,30.0572,107.874,584,6,577,1.0,"Chongqing, China",1.8826563507414569,1.0273972602739727
Fujian,China,2020-09-20 04:22:56,26.0789,117.9874,395,1,380,14.0,"Fujian, China",1.002283684344075,0.2531645569620253
Gansu,China,2020-09-20 04:22:56,35.7518,104.2861,170,2,168,0.0,"Gansu, China",0.6446719757299962,1.1764705882352942
Guangdong,China,2020-09-20 04:22:56,23.3417,113.4244,1797,8,1767,22.0,"Guangdong, China",1.5838180856689583,0.44518642181413465
Guangxi,China,2020-09-20 04:22:56,23.8298,108.7881,258,2,253,3.0,"Guangxi, China",0.5237515225334958,0.7751937984496124
Guizhou,China,2020-09-20 04:22:56,26.8154,106.8748,147,2,145,0.0,"Guizhou, China",0.4083333333333333,1.3605442176870748
Hainan,China,2020-09-20 04:22:56,19.1959,109.7453,171,6,165,0.0,"Hainan, China",1.8308351177730195,3.5087719298245608
Hebei,China,2020-09-20 04:22:56,37.8957,114.9042,365,6,356,3.0,"Hebei, China",0.4830598200105876,1.643835616438356
Heilongjiang,China,2020-09-20 04:22:56,47.861999999999995,127.7615,948,13,935,0.0,"Heilongjiang, China",2.5125894513649616,1.3713080168776368
Henan,China,2020-09-20 04:22:56,33.882,113.61399999999999,1279,22,1254,3.0,"Henan, China",1.331598125976054,1.7200938232994527
Hong Kong,China,2020-09-20 04:22:56,22.3,114.2,5009,103,4708,198.0,"Hong Kong, China",66.81349896785214,2.056298662407666
Hubei,China,2020-09-20 04:22:56,30.9756,112.2707,68139,4512,63627,0.0,"Hubei, China",115.1580192665202,6.621758464315589
Hunan,China,2020-09-20 04:22:56,27.6104,111.7088,1019,4,1015,0.0,"Hunan, China",1.4770256558921582,0.3925417075564279
Inner Mongolia,China,2020-09-20 04:22:56,44.0935,113.9448,261,1,259,1.0,"Inner Mongolia, China",1.0299921073401737,0.3831417624521073
Jiangsu,China,2020-09-20 04:22:56,32.9711,119.455,665,0,664,1.0,"Jiangsu, China",0.8259843497702148,0.0
Jiangxi,China,2020-09-20 04:22:56,27.614,115.7221,935,1,934,0.0,"Jiangxi, China",2.011617900172117,0.106951871657754
Jilin,China,2020-09-20 04:22:56,43.6661,126.1923,157,2,155,0.0,"Jilin, China",0.5806213017751479,1.2738853503184713
Liaoning,China,2020-09-20 04:22:56,41.2956,122.6085,265,2,262,1.0,"Liaoning, China",0.6079376003670567,0.7547169811320755
Macau,China,2020-09-20 04:22:56,22.1667,113.55,46,0,46,0.0,"Macau, China",7.084094360136879,0.0
Ningxia,China,2020-09-20 04:22:56,37.2692,106.1655,75,0,75,0.0,"Ningxia, China",1.0901162790697674,0.0
Qinghai,China,2020-09-20 04:22:56,35.7452,95.9956,18,0,18,0.0,"Qinghai, China",0.29850746268656714,0.0
Shaanxi,China,2020-09-20 04:22:56,35.1917,108.8701,399,3,372,24.0,"Shaanxi, China",1.0326086956521738,0.7518796992481203
Shandong,China,2020-09-20 04:22:56,36.3427,118.1498,831,7,815,9.0,"Shandong, China",0.8271125709166915,0.8423586040914561
Shanghai,China,2020-09-20 04:22:56,31.201999999999998,121.4491,972,7,916,49.0,"Shanghai, China",4.00990099009901,0.7201646090534979
Shanxi,China,2020-09-20 04:22:56,37.5777,112.2922,203,0,203,0.0,"Shanxi, China",0.5459924690693921,0.0
Sichuan,China,2020-09-20 04:22:56,30.6171,102.7103,672,3,652,17.0,"Sichuan, China",0.8056587939096032,0.44642857142857145
Tianjin,China,2020-09-20 04:22:56,39.3054,117.323,237,3,226,8.0,"Tianjin, China",1.5192307692307692,1.2658227848101269
Tibet,China,2020-09-20 04:22:56,31.6927,88.0924,1,0,1,0.0,"Tibet, China",0.02906976744186046,0.0
Xinjiang,China,2020-09-20 04:22:56,41.1129,85.2401,902,3,899,0.0,"Xinjiang, China",3.626859670285485,0.3325942350332594
Yunnan,China,2020-09-20 04:22:56,24.974,101.48700000000001,206,2,196,8.0,"Yunnan, China",0.42650103519668736,0.9708737864077671
Zhejiang,China,2020-09-20 04:22:56,29.1832,120.0934,1282,1,1272,9.0,"Zhejiang, China",2.2346173958514903,0.078003120124805
Amazonas,Colombia,2020-09-20 04:22:56,-1.4429,-71.5724,2732,115,2597,20.0,"Amazonas, Colombia",3567.091880034992,4.209370424597363
Antioquia,Colombia,2020-09-20 04:22:56,7.1986,-75.3412,102501,2187,85968,14346.0,"Antioquia, Colombia",1599.8028437817914,2.133637720607604
Arauca,Colombia,2020-09-20 04:22:56,7.0762,-70.7105,1449,34,1122,293.0,"Arauca, Colombia",552.6863838519456,2.3464458247066937
Atlantico,Colombia,2020-09-20 04:22:56,10.6966,-74.8741,66512,3016,61671,1825.0,"Atlantico, Colombia",2623.212544029482,4.5345200866009145
Bolivar,Colombia,2020-09-20 04:22:56,8.6704,-74.03,27972,754,25630,1588.0,"Bolivar, Colombia",1351.2325431981876,2.695552695552696
Boyaca,Colombia,2020-09-20 04:22:56,5.4545,-73.362,5995,117,4266,1612.0,"Boyaca, Colombia",492.4526194043582,1.9516263552960802
Caldas,Colombia,2020-09-20 04:22:56,5.2983,-75.2479,4653,106,3183,1364.0,"Caldas, Colombia",466.1133678268579,2.2781001504405762
Capital District,Colombia,2020-09-20 04:22:56,4.711,-74.0721,250490,6408,205741,38341.0,"Capital District, Colombia",3379.261648395441,2.5581859555271667
Caqueta,Colombia,2020-09-20 04:22:56,0.8699,-73.8419,7759,274,6504,981.0,"Caqueta, Colombia",1932.556060066403,3.5313829101688365
Casanare,Colombia,2020-09-20 04:22:56,5.7589,-71.5724,1771,41,1203,527.0,"Casanare, Colombia",421.1612731389,2.3150762281197066
Cauca,Colombia,2020-09-20 04:22:56,2.705,-76.82600000000002,8192,224,6257,1711.0,"Cauca, Colombia",559.3763827358093,2.734375
Cesar,Colombia,2020-09-20 04:22:56,9.3373,-73.6536,17236,494,12740,4002.0,"Cesar, Colombia",1435.6466157021555,2.866094221397076
Choco,Colombia,2020-09-20 04:22:56,5.2528,-76.82600000000002,3930,154,3636,140.0,"Choco, Colombia",734.8184269276362,3.918575063613232
Cordoba,Colombia,2020-09-20 04:22:56,8.0493,-75.574,22745,1480,19406,1859.0,"Cordoba, Colombia",1274.384617065492,6.506924598812926
Cundinamarca,Colombia,2020-09-20 04:22:56,5.026,-74.03,30582,898,25087,4597.0,"Cundinamarca, Colombia",1047.666029475242,2.9363677980511413
Guainia,Colombia,2020-09-20 04:22:56,2.5854,-68.5247,547,10,234,303.0,"Guainia, Colombia",1136.8832356486678,1.828153564899452
Guaviare,Colombia,2020-09-20 04:22:56,1.0654,-73.2603,628,11,417,200.0,"Guaviare, Colombia",758.7565092367731,1.751592356687898
Huila,Colombia,2020-09-20 04:22:56,2.5359,-75.5277,9380,282,6258,2840.0,"Huila, Colombia",852.4281479408135,3.0063965884861408
La Guajira,Colombia,2020-09-20 04:22:56,11.3548,-72.5205,7207,275,5698,1234.0,"La Guajira, Colombia",818.4564368129373,3.815734702372693
Magdalena,Colombia,2020-09-20 04:22:56,10.4113,-74.4057,14454,789,12119,1546.0,"Magdalena, Colombia",1077.2530717438324,5.4586965545869655
Meta,Colombia,2020-09-20 04:22:56,3.272,-73.0877,14066,366,11374,2326.0,"Meta, Colombia",1352.8616303204124,2.602019053035689
Narino,Colombia,2020-09-20 04:22:56,1.2892,-77.3579,17412,638,14545,2229.0,"Narino, Colombia",1067.8330324201272,3.6641396737881915
Norte de Santander,Colombia,2020-09-20 04:22:56,7.9463,-72.8988,14427,831,11890,1706.0,"Norte de Santander, Colombia",967.1587039925882,5.7600332709503
Putumayo,Colombia,2020-09-20 04:22:56,0.436,-75.5277,3619,160,3065,394.0,"Putumayo, Colombia",1039.3989350397203,4.421110804089527
Quindio,Colombia,2020-09-20 04:22:56,4.461,-75.6674,2531,76,1571,884.0,"Quindio, Colombia",468.7870436225699,3.0027657052548395
Risaralda,Colombia,2020-09-20 04:22:56,5.3158,-75.9928,9468,195,6938,2335.0,"Risaralda, Colombia",1003.602921769216,2.0595690747782003
San Andres y Providencia,Colombia,2020-09-20 04:22:56,12.5567,-81.7185,841,9,337,495.0,"San Andres y Providencia, Colombia",1372.3890339425589,1.070154577883472
Santander,Colombia,2020-09-20 04:22:56,6.6437,-73.6536,27012,1158,20338,5516.0,"Santander, Colombia",1236.3393699392675,4.286983562860952
Sucre,Colombia,2020-09-20 04:22:56,8.814,-74.7233,13512,559,11964,989.0,"Sucre, Colombia",1493.264726262429,4.137063351095323
Tolima,Colombia,2020-09-20 04:22:56,4.0925,-75.1545,10862,277,8129,2456.0,"Tolima, Colombia",816.5769173807892,2.5501749217455347
Valle del Cauca,Colombia,2020-09-20 04:22:56,3.8009,-76.6413,56837,2092,47119,7626.0,"Valle del Cauca, Colombia",1269.8491427172185,3.680700951844748
Vaupes,Colombia,2020-09-20 04:22:56,0.8554,-70.812,679,5,457,217.0,"Vaupes, Colombia",1664.3380640733387,0.7363770250368189
Vichada,Colombia,2020-09-20 04:22:56,4.4234,-69.2878,397,4,221,172.0,"Vichada, Colombia",368.24725437815374,1.0075566750629723
,Comoros,2020-09-20 04:22:56,-11.6455,43.3333,470,7,450,13.0,Comoros,54.04814885090185,1.4893617021276595
,Congo (Brazzaville),2020-09-20 04:22:56,-0.228,15.8277,4986,89,3887,1010.0,Congo (Brazzaville),90.35731916031843,1.784997994384276
,Congo (Kinshasa),2020-09-20 04:22:56,-4.0383,21.7587,10488,268,9891,329.0,Congo (Kinshasa),11.710401502861655,2.555301296720061
,Costa Rica,2020-09-20 04:22:56,9.7489,-83.7534,63712,706,23552,39454.0,Costa Rica,1250.6983550034413,1.1081115017579106
,Cote d'Ivoire,2020-09-20 04:22:56,7.54,-5.5471,19269,120,18392,757.0,Cote d'Ivoire,73.04874939699431,0.6227619492449011
,Croatia,2020-09-20 04:22:56,45.1,15.2,14725,244,12353,2128.0,Croatia,358.68547437097885,1.6570458404074704
,Cuba,2020-09-20 04:22:56,21.521757,-77.78116700000002,5055,113,4284,658.0,Cuba,44.629393280393714,2.235410484668645
,Cyprus,2020-09-20 04:22:56,35.1264,33.4299,1590,22,1282,286.0,Cyprus,131.69217823004058,1.3836477987421385
,Czechia,2020-09-20 04:22:56,49.8175,15.472999999999999,48306,499,24228,23579.0,Czechia,451.07929026307073,1.0329979712665094
Faroe Islands,Denmark,2020-09-20 04:22:56,61.8926,-6.9118,431,0,412,19.0,"Faroe Islands, Denmark",882.0218970633377,0.0
Greenland,Denmark,2020-09-20 04:22:56,71.7069,-42.6043,14,0,14,0.0,"Greenland, Denmark",24.660043683505954,0.0
,Denmark,2020-09-20 04:22:56,56.2639,9.5018,22436,635,17316,4485.0,Denmark,387.3483025370485,2.8302727758958817
,Diamond Princess,2020-09-20 04:22:56,,,712,13,651,48.0,Diamond Princess,,1.8258426966292132
,Djibouti,2020-09-20 04:22:56,11.8251,42.5903,5403,61,5333,9.0,Djibouti,546.8612411715766,1.1290024060707016
,Dominica,2020-09-20 04:22:56,15.415,-61.371,24,0,18,6.0,Dominica,33.337500520898445,0.0
,Dominican Republic,2020-09-20 04:22:56,18.7357,-70.1627,107700,2044,80820,24836.0,Dominican Republic,992.8185205178804,1.8978644382544103
,Ecuador,2020-09-20 04:22:56,-1.8312,-78.1834,125620,11084,97063,17473.0,Ecuador,712.0080076812072,8.82343575863716
,Egypt,2020-09-20 04:22:56,26.820553000000004,30.802497999999996,101900,5750,88666,7484.0,Egypt,99.57550639153091,5.642787046123651
,El Salvador,2020-09-20 04:22:56,13.7942,-88.8965,27428,808,21247,5373.0,El Salvador,422.8669447647399,2.945894706139711
,Equatorial Guinea,2020-09-20 04:22:56,1.6508,10.2679,5002,83,4509,410.0,Equatorial Guinea,356.5255508790187,1.6593362654938024
,Eritrea,2020-09-20 04:22:56,15.1794,39.7823,364,0,305,59.0,Eritrea,10.263851476429657,0.0
,Estonia,2020-09-20 04:22:56,58.5953,25.0136,2875,64,2374,437.0,Estonia,216.72939883410893,2.226086956521739
,Eswatini,2020-09-20 04:22:56,-26.5225,31.4659,5245,104,4571,570.0,Eswatini,452.09125606379786,1.982840800762631
,Ethiopia,2020-09-20 04:22:56,9.145,40.4897,68131,1089,27939,39103.0,Ethiopia,59.26311465083687,1.5983913343411955
,Fiji,2020-09-20 04:22:56,-17.7134,178.065,32,2,26,4.0,Fiji,3.5696596775704896,6.25
,Finland,2020-09-20 04:22:56,61.92411,25.748151,8922,339,7700,883.0,Finland,161.0260619652543,3.7995965030262266
French Guiana,France,2020-09-20 04:22:56,4.0,-53.0,9692,65,9341,286.0,"French Guiana, France",3244.922693700993,0.6706562113082954
French Polynesia,France,2020-09-20 04:22:56,-17.6797,-149.4068,1271,2,1028,241.0,"French Polynesia, France",452.4677469882949,0.15735641227380015
Guadeloupe,France,2020-09-20 04:22:56,16.265,-61.551,3426,26,837,2563.0,"Guadeloupe, France",856.2281475631488,0.7589025102159953
Martinique,France,2020-09-20 04:22:56,14.6415,-61.0242,1122,18,98,1006.0,"Martinique, France",298.98871464165325,1.60427807486631
Mayotte,France,2020-09-20 04:22:56,-12.8275,45.166244,3541,40,2964,537.0,"Mayotte, France",1297.9586749898285,1.1296243998870377
